THREE-D LEFT-LIGHTED DOWNWARDS EQUILATERAL ARROWHEAD	2B9B	
ETHIOPIC SYLLABLE ZZEE	2DB4	
ARABIC LETTER PEH MEDIAL FORM	FB59	
LATIN CAPITAL LETTER M WITH DOT BELOW	1E42	
MATHEMATICAL ITALIC SMALL GAMMA	1D6FE	
BAMUM LETTER PHASE-E LAQ	169D9	
UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR	21ED	
PARENTHESIZED IDEOGRAPH WOOD	322D	
PHAISTOS DISC SIGN CAPTIVE	101D3	
SHARADA LETTER I	11185	
LINEAR B IDEOGRAM VESSEL B226	100F5	
LINEAR B IDEOGRAM VESSEL B227	100F6	
LINEAR B IDEOGRAM VESSEL B221	100F3	
LINEAR B IDEOGRAM VESSEL B222	100F4	
LINEAR A SIGN A595	10700	
SHARADA LETTER A	11183	
LINEAR B IDEOGRAM VESSEL B228	100F7	
LINEAR B IDEOGRAM VESSEL B229	100F8	
YI SYLLABLE SEP	A31D	
WATERMELON	1F349	
LATIN SMALL LETTER A WITH BREVE AND DOT BELOW	1EB7	
YI SYLLABLE SEX	A31B	
REVERSED PRIME	2035	
SHORTHAND FORMAT UP STEP	1BCA3	
TIRHUTA SIGN NUKTA	114C3	
BAMUM LETTER PHASE-C FUE	168BC	
IDEOGRAPHIC ENTERING TONE MARK	302D	
LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL	02AF	
BAMUM LETTER PHASE-D NDON	16918	
OLD PERMIC LETTER YERI	10370	
LINEAR A SIGN A598	10702	
DUPLOYAN LETTER N WITH DOT	1BC22	
MUSICAL SYMBOL NULL NOTEHEAD	1D159	
LINEAR B IDEOGRAM B161	100A9	
OLD PERMIC LETTER YERU	10368	
SINHALA VOWEL SIGN AELA-PILLA	0DCF	
TAMIL YEAR SIGN	0BF5	
CYRILLIC CAPITAL LETTER IO	0401	
COMBINING DEVANAGARI DIGIT NINE	A8E9	
MINIMIZE	1F5D5	
OLD SOUTH ARABIAN LETTER SAMEKH	10A6F	
CYRILLIC CAPITAL LETTER IE	0415	
PARENTHESIZED NUMBER NINETEEN	2486	
CUNEIFORM SIGN URU TIMES TU	1234B	
LINEAR B IDEOGRAM B167	100AF	
BIRD	1F426	
HANGUL SYLLABLE PYUT	D501	
HALFWIDTH HANGUL LETTER RIEUL-SIOS	FFAD	
LATIN SMALL LETTER G WITH DOT ABOVE	0121	
BASSA VAH LETTER UWU	16AE0	
CANADIAN SYLLABICS NASKAPI STWA	150D	
ARMENIAN SMALL LETTER VO	0578	
VESTA	26B6	
MINUS SIGN	2212	minus
NEW TAI LUE LETTER LOW SA	198C	
LATIN SMALL LETTER O WITH LONG STROKE OVERLAY	A74B	
BOX DRAWINGS RIGHT DOWN HEAVY AND LEFT UP LIGHT	2546	
HEBREW LETTER KAF	05DB	
BLANK SYMBOL	2422	
HANGUL SYLLABLE KOC	CF6B	
SYRIAC LETTER REVERSED PE	0727	
CUNEIFORM SIGN NAGA OPPOSING NAGA	12243	
ARMENIAN SMALL LETTER REH	0580	
CUNEIFORM SIGN KASKAL LAGAB TIMES U OVER LAGAB TIMES U	1219D	
LEPCHA DIGIT EIGHT	1C48	
CONFETTI BALL	1F38A	
MATHEMATICAL BOLD ITALIC CAPITAL UPSILON	1D730	
TAMIL AU LENGTH MARK	0BD7	
ALCHEMICAL SYMBOL FOR DISSOLVE-2	1F762	
BRAHMI NUMBER SEVEN	11058	
MUSICAL SYMBOL CLUSTER NOTEHEAD BLACK	1D15B	
LATIN SMALL LETTER C WITH CIRCUMFLEX	0109	
YI SYLLABLE MGEP	A23F	
ORIYA LETTER DDHA	0B22	
YI SYLLABLE MGEX	A23D	
EURO-CURRENCY SIGN	20A0	
MUSICAL SYMBOL TRIANGLE NOTEHEAD UP BLACK	1D149	
MATHEMATICAL SANS-SERIF BOLD SMALL SIGMA	1D782	
RLM	200F	rlm
RLO	202E	
RLI	2067	
SAURASHTRA VOWEL SIGN VOCALIC RR	A8BB	
RLE	202B	
GREATER-THAN OR EQUIVALENT TO	2273	
